"id_muni2015","name_muni2015_en","name_muni2015_jp","totalpop1980","totalpop1985","totalpop1990","totalpop1995","totalpop2000","totalpop2005","totalpop2010","totalpop2015","totalpop2020"
"36205","Yoshinogawa-shi, Tokushima","徳島県 吉野川市","48677","49302","48938","48383","46794","45782","44020","41466","38772"
"36206","Awa-shi, Tokushima","徳島県 阿波市","43823","44058","43304","42657","42388","41076","39247","37202","34713"
"36207","Mima-shi, Tokushima","徳島県 美馬市","41642","40689","39159","38202","36632","34565","32484","30501","28055"
"36208","Miyoshi-shi, Tokushima","徳島県 三好市","47057","45340","42219","40087","37305","34103","29951","26836","23605"
"36301","Katsura-cho, Katsura-gun, Tokushima","徳島県 勝浦郡 勝浦町","7811","7638","7267","7067","6736","6303","5765","5301","4837"
"36302","Kamikatsu-cho, Katsura-gun, Tokushima","徳島県 勝浦郡 上勝町","2918","2712","2450","2318","2124","1955","1783","1545","1380"
"36321","Sanagochi-son, Myodo-gun, Tokushima","徳島県 名東郡 佐那河内村","3828","3644","3467","3245","3016","2800","2588","2289","2058"
"36341","Ishii-cho, Myozai-gun, Tokushima","徳島県 名西郡 石井町","24434","25071","25207","25436","26023","26068","25954","25590","24833"
"36342","Kamiyama-cho, Myozai-gun, Tokushima","徳島県 名西郡 神山町","11156","10542","9468","8614","7798","6924","6038","5300","4647"
"36368","Naka-cho, Naka-gun, Tokushima","徳島県 那賀郡 那賀町","14360","13998","13255","12572","11893","10695","9318","8402","7367"
"36383","Mugi-cho, Kaifu-gun, Tokushima","徳島県 海部郡 牟岐町","7697","7341","6798","6251","5755","5391","4826","4259","3743"
"36387","Minami-cho, Kaifu-gun, Tokushima","徳島県 海部郡 美波町","11866","11262","10507","9928","9307","8726","7765","7092","6222"
"36388","Kaiyo-cho, Kaifu-gun, Tokushima","徳島県 海部郡 海陽町","14397","13915","12949","12399","12104","11507","10446","9283","8358"
"36401","Matsushige-cho, Itano-gun, Tokushima","徳島県 板野郡 松茂町","10196","10957","12096","13562","14267","14926","15070","15204","14583"
"36402","Kitajima-cho, Itano-gun, Tokushima","徳島県 板野郡 北島町","16466","17745","18986","19514","19823","20703","21658","22446","22745"
"36403","Aizumi-cho, Itano-gun, Tokushima","徳島県 板野郡 藍住町","19713","22619","25674","28408","30368","32286","33338","34626","35246"
"36404","Itano-cho, Itano-gun, Tokushima","徳島県 板野郡 板野町","13562","13907","13785","13999","14637","14519","14241","13358","13042"
"36405","Kamiita-cho, Itano-gun, Tokushima","徳島県 板野郡 上板町","12074","12523","12546","12721","12952","13123","12727","12039","11384"
"36468","Tsurugi-cho, Mima-gun, Tokushima","徳島県 美馬郡 つるぎ町","18857","17341","15794","14614","13100","11722","10490","8927","7715"
"36489","Higashimiyoshi-cho, Miyoshi-gun, Tokushima","徳島県 三好郡 東みよし町","15610","15827","15908","15993","16199","15626","15044","14638","13622"
"37201","Takamatsu-shi, Kagawa","香川県 高松市","386547","401020","406853","412626","416680","418125","419429","420748","417496"
"37202","Marugame-shi, Kagawa","香川県 丸亀市","94849","99628","101253","106107","108356","110085","110473","110010","109513"
